density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
Low,architectureB,1,21.961210787826065,1.341656280403547
Low,architectureC,1,44.01213181084276,1.6435724049470137
Low,architectureD,1,21.40136460670985,1.330441465978606
Low,control,1,19.4803199527587,1.2895960856317368
Low,architectureA,20,28.870338491972166,1.4604518758216243
Low,architectureB,20,23.88566566984014,1.3781373491450115
Low,architectureC,20,34.762006041359186,1.5411048307097235
Low,architectureD,20,19.26437930402651,1.2847550206587082
Low,control,20,18.045652336428653,1.2563725860902113
Low,architectureA,21,25.50023519273528,1.4065441860196835
Low,architectureB,21,27.00303200817064,1.4314125312140955
Low,architectureC,21,38.10607419314112,1.5809942087019029
Low,architectureD,21,12.524905141530246,1.097774445384315
Low,control,21,26.984075679857977,1.4311075462102965
Low,architectureA,22,22.937189916752907,1.3605402104962883
Low,architectureB,22,18.112194137089556,1.2579710645553766
Low,architectureC,22,35.81099215838988,1.554016353487325
Low,architectureD,22,15.493062982679628,1.1901372863823958
Low,control,22,29.061458553830043,1.4633174071397006
Low,architectureA,23,18.726751713000173,1.2724624524707178
Low,architectureB,23,23.04066691831064,1.362495045703879
Low,architectureC,23,35.535970517572615,1.550668180892016
Low,architectureD,23,16.45694029102101,1.2163490934372374
Low,control,23,19.722952445072234,1.29497192757405
Low,architectureA,24,14.603771105742103,1.1644650173554645
Low,architectureB,24,14.396069588563812,1.1582439373040343
Low,architectureC,24,28.900821688060603,1.4609101904907207
Low,architectureD,24,8.470517793787097,0.9279099591041633
Low,control,24,32.73152571230871,1.5149662495180056
Low,architectureA,25,20.441650042534917,1.31051594896977
Low,architectureB,25,25.69227228250991,1.4098025159485152
Low,architectureC,25,39.13988341370925,1.592619527687385
Low,architectureD,25,17.02206741744676,1.2310123062457121
Low,control,25,24.00623453735357,1.380324044776091
Low,architectureA,26,19.22728428746581,1.2839179476676925
Low,architectureB,26,26.25486169850132,1.419209734916509
Low,architectureC,26,29.30904385287864,1.4670016507075605
Low,architectureD,26,15.934052060336509,1.2023262317751953
Low,control,26,26.41386143406472,1.4218318952213336
Low,architectureA,27,17.405304521918243,1.240681626070854
Low,architectureB,27,21.900496869533825,1.3404539680478305
Low,architectureC,27,36.5494162578552,1.5628804450964286
Low,architectureD,27,12.666795907225966,1.1026667730688897
Low,control,27,18.84851359746769,1.2752771072277187
Low,architectureA,28,26.715949716698056,1.4267706173881034
Low,architectureB,28,16.960383257474426,1.229435661878576
Low,architectureC,28,39.49793190464621,1.5965743567425743
Low,architectureD,28,19.915028034427685,1.299180922103051
Low,control,28,24.02170250512975,1.380603784181836
Low,architectureA,29,28.898344755908845,1.4608729678789636
Low,architectureB,29,22.746577151665363,1.356916054356527
Low,architectureC,29,32.3844285276436,1.5103362376727358
Low,architectureD,29,22.49695126535799,1.3521236675183066
Low,control,29,26.927435563461525,1.430194995310181
Low,architectureA,2,22.42711097671812,1.3507733320903559
Low,architectureB,2,28.285497014678,1.4515638142885785
Low,architectureC,2,40.03778775722841,1.6024700730187986
Low,architectureD,2,15.14171758010352,1.1801751415611803
Low,control,2,27.148862301515404,1.433751634789449
Low,architectureA,30,24.39313163049368,1.3872675593353094
Low,architectureB,30,17.51623356839491,1.2434407276133026
Low,architectureC,30,40.89545717175985,1.6116750675473657
Low,architectureD,30,16.91068263402922,1.2281611391298695
Low,control,30,27.936958886648224,1.4461791286704229
Low,architectureA,31,28.428422690938824,1.4537527641707537
Low,architectureB,31,15.862876741965753,1.2003819496820436
Low,architectureC,31,33.726066998385235,1.5279656984234267
Low,architectureD,31,17.912307005041452,1.2531515241536455
Low,control,31,25.275786549889176,1.4027046791576605
Low,architectureA,32,17.722094368637798,1.2485150448080538
Low,architectureB,32,22.37429080875087,1.34974927850293
Low,architectureC,32,42.392853717176095,1.6272926525179119
Low,architectureD,32,12.887138881771062,1.1101565088365617
Low,control,32,25.77744080173485,1.4112397981665197
Low,architectureA,33,19.93981759403325,1.2997211811437834
Low,architectureB,33,22.567903215000488,1.353491210630412
Low,architectureC,33,36.16164938925867,1.558248231104129
Low,architectureD,33,11.379816913205062,1.0561352748688604
Low,control,33,22.663371741483992,1.3553245224641746
Low,architectureA,34,11.444643128515647,1.058602254875759
Low,architectureB,34,21.77525364814694,1.3379632225705835
Low,architectureC,34,39.16433698733722,1.5928907787739874
Low,architectureD,34,19.09005358439791,1.2808071474285367
Low,control,34,26.037340781961795,1.4155966272581804
Low,architectureA,35,25.584593534779163,1.4079785216792626
Low,architectureB,35,30.59030466363816,1.4855838023549957
Low,architectureC,35,38.80531554537479,1.588891219251619
Low,architectureD,35,20.44739432808447,1.310637972439453
Low,control,35,26.55828817744578,1.4242000790149578
Low,architectureA,36,23.735606214556352,1.375400328208353
Low,architectureB,36,18.014134564967016,1.2556134025847319
Low,architectureC,36,29.571114568337723,1.47086769387872
Low,architectureD,36,22.483385527197704,1.3518617074786672
Low,control,36,22.050275226305036,1.3434140145983962
Low,architectureA,37,21.654741316401164,1.3355530000940044
Low,architectureB,37,22.637083974347394,1.3548204819060796
Low,architectureC,37,43.59310050593492,1.6394177587798373
Low,architectureD,37,28.44884685545203,1.4540646674107498
Low,control,37,26.8784207024816,1.4294037472557724
Low,architectureA,38,25.837847760803815,1.4122563349989334
Low,architectureB,38,21.94737140542186,1.3413825130756167
Low,architectureC,38,33.02950367012723,1.5189020476561588
Low,architectureD,38,20.766074067720595,1.3173543987071932
Low,control,38,29.725359677919812,1.4731271183013526
Low,architectureA,39,14.683138622490311,1.1668188989542587
