density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architectureD,100,8,0.0023040257562222,149.35552145455415,2.1742212824668985
High,architectureD,10,8,0.002340098827021,145.29798620268218,2.1622595951161667
High,architectureD,11,8,0.0023287388636317,172.11691207542108,2.235823545866043
High,architectureD,12,8,0.0023278500724946,168.17626971896354,2.2257647152598956
High,architectureD,13,8,0.0023469966396149,174.3458891152101,2.241411711645302
High,architectureD,14,8,0.0022910980325146,161.41082327292062,2.2079326526295975
High,architectureD,15,8,0.0023226443013673,178.71672733578055,2.2521652030352706
High,architectureD,16,8,0.0023559465034398,157.52691091685384,2.1973547566294043
High,architectureD,17,8,0.0023318040161961,173.73905682658437,2.2398974595384176
High,architectureD,18,8,0.0023399974744223,169.0200320493855,2.2279381797198488
High,architectureD,19,8,0.0022947383560971,161.64758577818486,2.208569222767297
High,architectureD,1,8,0.0023124697160442,170.6198387088586,2.232029527071043
High,architectureD,20,8,0.0023140576508856,157.1263744698451,2.1962490897206393
High,architectureD,21,8,0.0023240205731634,178.06918226268536,2.250588764318102
High,architectureD,22,8,0.0023132112338547,186.57526096739213,2.270854057751198
High,architectureD,23,8,0.0023132054671364,188.4354304781256,2.2751625641387023
High,architectureD,24,8,0.0023355976343392,156.15679252717047,2.1935608799713315
High,architectureD,25,8,0.0023242099619308,146.12185886984474,2.164715188394664
High,architectureD,26,8,0.002295272316312,198.3231412837705,2.2973733926998783
High,architectureD,27,8,0.0023123135567981,164.39012325285532,2.2158757210772793
High,architectureD,28,8,0.0023326042234024,127.99157819304116,2.1071813941430255
High,architectureD,29,8,0.0023258843968552,183.64877105482867,2.2639880264689944
High,architectureD,2,8,0.0023234927946382,150.65183447952288,2.1779744244228056
High,architectureD,30,8,0.0023075103479791,151.15970932635517,2.1794360481160977
High,architectureD,31,8,0.002317454748703,169.34241291923937,2.228765743637154
High,architectureD,32,8,0.0022996602799154,140.93485165986303,2.149018402704385
High,architectureD,33,8,0.002341847763824,174.55417754061168,2.241930247083885
High,architectureD,34,8,0.0022986625864678,165.85324787505726,2.2197239806514255
High,architectureD,35,8,0.0022776699377551,164.85946288526728,2.2171138805717105
High,architectureD,36,8,0.0023406238542863,155.3934847287243,2.191432805934134
High,architectureD,37,8,0.0023006921213542,159.25440914127265,2.2020914651154997
High,architectureD,38,8,0.0023263660063615,178.66004418651417,2.252027437063269
High,architectureD,39,8,0.0022833338151039,154.11342016986256,2.1878404586531772
High,architectureD,3,8,0.0023205817209303,182.2727609660484,2.260721772077798
High,architectureD,40,8,0.0022559059652242,156.2000249082047,2.1936810987954107
High,architectureD,41,8,0.0023161786302385,190.36015271023768,2.2795760445254745
High,architectureD,42,8,0.0023208950616352,151.61114419855633,2.180731125346539
High,architectureD,43,8,0.0022817523994621,183.2602951452736,2.2630683816716464
High,architectureD,44,8,0.0023165999976645,181.01395133716235,2.2577120486550726
High,architectureD,45,8,0.0023322702060591,142.3400509197152,2.1533271168523465
High,architectureD,46,8,0.0023276267985514,143.99269326305728,2.1583404549004883
High,architectureD,47,8,0.002326422663781,140.70267288930492,2.1483023476838565
High,architectureD,48,8,0.0022873234947534,174.48119400081308,2.2417486245226743
High,architectureD,49,8,0.0023219199813522,153.91799969275556,2.1872894106705876
High,architectureD,4,8,0.0023650954788104,171.45232491057155,2.2341433785672438
High,architectureD,50,8,0.0023079437689391,172.20724722659426,2.236051424494461
High,architectureD,51,8,0.0023421376641815,176.79078968384303,2.2474596357128234
High,architectureD,52,8,0.0023185933470505,171.04330386807996,2.2331060767668203
High,architectureD,53,8,0.0023122312140361,202.52273057453863,2.3064737742622063
High,architectureD,54,8,0.0023120291465113,171.16011556339507,2.233402571037695
High,architectureD,55,8,0.0023354937089183,128.98004735326398,2.1105225320466436
High,architectureD,56,8,0.0023039587023875,180.3486517412174,2.256112899947766
High,architectureD,57,8,0.0022996103962113,172.86800594047483,2.237714622370274
High,architectureD,58,8,0.0022829864543573,183.49469061137253,2.2636235025306566
High,architectureD,59,8,0.0023604758256451,162.4598175754377,2.2107459612335143
High,architectureD,5,8,0.0022846112185963,165.00259941821665,2.2174907860569077
High,architectureD,60,8,0.0022865982770169,165.66089622646209,2.2192200065650662
High,architectureD,61,8,0.002301238494745,173.43388945112633,2.2391339637489374
High,architectureD,62,8,0.0023297086018438,172.38687736483806,2.2365042028752966
High,architectureD,63,8,0.0023212932861099,172.78557057943848,2.2375074714797725
High,architectureD,64,8,0.0023077080112748,150.90367348060116,2.178699812028314
High,architectureD,65,8,0.002313858156183,195.43525974784623,2.2910029203472915
High,architectureD,66,8,0.0023133381348552,177.23418729409943,2.2485474981441964
High,architectureD,67,8,0.002291908705298,147.94894254453655,2.1701118654161258
High,architectureD,68,8,0.002313025536949,183.97370495813547,2.2647557544897006
High,architectureD,69,8,0.0022978946986122,168.82789372820756,2.2274442023100187
High,architectureD,6,8,0.0022854487040608,182.9538594105663,2.2623415753587475
High,architectureD,70,8,0.0023156844809902,160.00033637206562,2.20412089568329
High,architectureD,71,8,0.0023127589033426,165.83941796149605,2.2196877648663516
High,architectureD,72,8,0.002286724837741,169.95808153177393,2.230341820176557
High,architectureD,73,8,0.0022997282646692,163.45342435519012,2.2133940234969005
High,architectureD,74,8,0.0023210106339184,158.2112883934811,2.199237467228015
High,architectureD,75,8,0.0023058277484936,160.09910058657587,2.204388892123021
High,architectureD,76,8,0.0023136229545804,154.920919042534,2.190110064701324
High,architectureD,77,8,0.0022972071865544,170.11288013580364,2.230737197563971
High,architectureD,78,8,0.0023010894882214,176.5823492878068,2.246947290464588
High,architectureD,79,8,0.0023454819970105,177.71424064150423,2.2497222301926016
High,architectureD,7,8,0.002321960073116,128.6133451906228,2.1092860342332096
High,architectureD,80,8,0.0023228989291614,138.31432540544336,2.1408671629172797
High,architectureD,81,8,0.0022988120259447,155.98098108521484,2.19307164762827
High,architectureD,82,8,0.0023157543621629,176.15975129478093,2.2459066884840544
High,architectureD,83,8,0.0023240002561669,176.97647357304788,2.24791553711604
High,architectureD,84,8,0.0023299232651319,188.6346812716614,2.2756215425912774
High,architectureD,85,8,0.0023074341523259,176.56957424134043,2.2469158698106475
High,architectureD,86,8,0.0023191129589399,158.4723449814475,2.199953484409524
High,architectureD,88,8,0.0023130526622419,162.6519562991748,2.2112592911335636
High,architectureD,89,8,0.0023051891311249,168.92050873945553,2.22768238072354
High,architectureD,8,8,0.0022962560847049,170.99077802081362,2.2329726883882213
High,architectureD,90,8,0.0023029763504301,167.08133193786344,2.2229279287127786
High,architectureD,91,8,0.0023219214254524,133.35016563696843,2.1249935594722893
