density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2],log_absorbedPAR_umol_m2_s1
High,architectureA,95,853.95919401175,0.0500530242654937,2.9314371186527843
High,architectureA,96,809.3353965934743,0.0500804483603,2.9081285348433825
High,architectureA,97,779.1063961579581,0.0500536130102708,2.891596769750973
High,architectureA,98,848.470040988156,0.0500742083380595,2.9286365122244304
High,architectureA,99,872.2390660726392,0.0501401614402973,2.940635534068465
High,architectureA,100,846.7154924375543,0.0500504504394138,2.92773750617367
High,architectureB,1,804.3287239584969,0.0500970722334141,2.90543357838043
High,architectureB,2,994.237173584886,0.0501370240412337,2.997489996965297
High,architectureB,3,908.1580128369216,0.0500158652592246,2.9581614191518706
High,architectureB,4,811.8802427969027,0.0500756259532506,2.9094919729256947
High,architectureB,5,938.3859830246128,0.0500738852412745,2.9723815119585715
High,architectureB,6,846.473122785653,0.0500900830353747,2.9276131729456125
High,architectureB,7,734.7497025488028,0.0501225540127443,2.8661394189277876
High,architectureB,8,933.8864996366724,0.0500755828092771,2.970294097239981
High,architectureB,9,860.4444713200091,0.0500479477515663,2.9347228484259897
High,architectureB,10,930.684922940267,0.0500815725981482,2.968802678416046
High,architectureB,11,928.2114899710162,0.0500409721988681,2.967646940079698
High,architectureB,12,1005.6673228524652,0.0501476585249481,3.00245433882733
High,architectureB,13,831.734180306596,0.0501129789481267,2.919984549281301
High,architectureB,14,741.7484413269419,0.0500770185633115,2.870256642385146
High,architectureB,15,809.0332590650723,0.0500637929268242,2.9079663756685536
High,architectureB,16,850.5922297765056,0.0500524270298333,2.929721411083624
High,architectureB,17,897.7100052280823,0.0500550784208548,2.9531360655434002
High,architectureB,18,910.119620451644,0.0499989312273273,2.959098477033068
High,architectureB,19,863.3171012805665,0.0500707648683732,2.936170343851298
High,architectureB,20,973.3379672265507,0.050075004394455,2.988263664334369
High,architectureB,21,945.54287711628,0.0500661815338478,2.975681227388132
High,architectureB,22,877.4352126833509,0.0501088251593966,2.9432150592542583
High,architectureB,23,817.6766689870818,0.0500599232921286,2.912581606074567
High,architectureB,24,990.3615373137036,0.0501080381942174,2.9957937653020696
High,architectureB,25,894.1293570625044,0.050121699910935,2.9514003543601537
High,architectureB,26,826.0713847050804,0.0501071189860816,2.917017578366335
High,architectureB,27,995.7483448484668,0.050117789068554,2.9981495931895505
High,architectureB,28,881.7341196092482,0.0500735411978669,2.9453376465893935
High,architectureB,29,891.9557363575739,0.0500295487110341,2.9503433028821404
High,architectureB,30,874.1276010641698,0.0500937737970013,2.9415748335418868
High,architectureB,31,955.7871977307988,0.0501315140132732,2.9803612090764826
High,architectureB,32,854.0212684216038,0.0501045960173745,2.931468686430369
High,architectureB,33,921.7404850735518,0.0501419449156552,2.964608663173863
High,architectureB,34,964.163936366073,0.0501463311352131,2.984150883079239
High,architectureB,35,874.4224941796169,0.0501443497502456,2.941721321142502
High,architectureB,36,887.7118103664711,0.0501260728847121,2.948271997894115
High,architectureB,37,843.1355790354885,0.0501477106586607,2.9258974162529405
High,architectureB,38,882.3659814715844,0.050120946075002,2.945648756068617
High,architectureB,39,1053.7622964580785,0.0500302908122285,3.022742655488298
High,architectureB,40,907.1357696458268,0.0501297046653694,2.9576722921265177
High,architectureB,41,863.6249067386337,0.0499945737493369,2.9363251587932395
High,architectureB,42,821.5370269555673,0.0501306833321844,2.914627142013442
High,architectureB,43,925.2380889447496,0.0500176986662157,2.9662535029118504
High,architectureB,44,848.2616284443234,0.050065597730907,2.92852982190936
High,architectureB,45,801.0725687563777,0.0500819621460935,2.903671860382479
High,architectureB,46,912.6711200057216,0.0500778714075285,2.960314308204524
High,architectureB,47,829.4903681182032,0.0500483780814864,2.9188113474460926
High,architectureB,48,825.610335160987,0.0500625771384636,2.9167751209053407
