density,architecture,repetition,absorbedPAR_umol_m2_s1,log_absorbedPAR_umol_m2_s1
High,architecture_C,39,1.4902708540314202,0.17326520782236945
High,architecture_C,3,2.2969108084778846,0.36114413139966434
High,architecture_C,40,2.4167480282626723,0.3832313729399064
High,architecture_C,41,2.1547739419324707,0.3334017149046556
High,architecture_C,42,3.4241862223261936,0.5345573754938583
High,architecture_C,43,2.870044346028701,0.4578886072171867
High,architecture_C,44,2.584551348820751,0.4123851649765185
High,architecture_C,46,1.6127997489605403,0.20758044716556734
High,architecture_C,47,1.8072065311101868,0.2570077874231463
High,architecture_C,48,2.2744921820614654,0.35688444840123423
High,architecture_C,49,1.9641785707080224,0.2931809685567025
High,architecture_C,4,1.7186894207391727,0.2351974037111494
High,architecture_C,50,4.158793958543026,0.6189674044033044
High,architecture_C,51,4.658153376071322,0.6682137841739303
High,architecture_C,52,2.516452649706226,0.4007887630006845
High,architecture_C,53,1.885884486340175,0.27551508793396023
High,architecture_C,54,3.363801581998921,0.5268303704836613
High,architecture_C,55,0.5470081387300048,-0.26200621191293927
High,architecture_C,56,3.338148052245405,0.5235055944305034
High,architecture_C,57,3.40433130655331,0.5320318186294514
High,architecture_C,58,2.2474615529929984,0.3516922710545189
High,architecture_C,59,1.323970806953036,0.12187840918299982
High,architecture_C,5,1.6275438783839768,0.21153270592419765
High,architecture_C,60,2.5783395956666006,0.41134011814189547
High,architecture_C,61,3.6605979394491546,0.5635520309117046
High,architecture_C,62,1.6852601146728536,0.22666694238755306
High,architecture_C,63,1.6299981764251734,0.21218711853345013
High,architecture_C,64,3.012343075561491,0.4789044321164275
High,architecture_C,65,2.3636249433757506,0.37357856444914567
High,architecture_C,66,3.8349668987101215,0.5837616197140534
High,architecture_C,67,1.699863351253099,0.23041401068296719
High,architecture_C,68,3.6718839208254144,0.5648889434056146
High,architecture_C,69,1.5367315771846288,0.1865980153669862
High,architecture_C,6,1.7908363242378262,0.25305589476661
High,architecture_C,71,0.9390651121301564,-0.027304293933616032
High,architecture_C,72,1.953897566289457,0.29090179195115956
High,architecture_C,73,3.860410908203856,0.5866335341193307
High,architecture_C,74,3.539909100736471,0.5489921101739772
High,architecture_C,75,1.3784768591845815,0.13939947989932042
High,architecture_C,76,1.7535791543589858,0.24392537416702972
High,architecture_C,77,5.414062052886827,0.7335232290983029
High,architecture_C,78,2.793057120146013,0.44607981744484915
High,architecture_C,7,2.439036578266942,0.3872183134832142
High,architecture_C,80,2.191260632101365,0.340694036324556
High,architecture_C,81,3.0951266289996764,0.4906784217408927
High,architecture_C,82,2.1459097706116674,0.33161145716894475
High,architecture_C,83,0.8538523978531655,-0.06861719762266812
High,architecture_C,84,1.9123351264799548,0.28156400238954404
High,architecture_C,85,1.3594936871115166,0.13337719525636285
High,architecture_C,88,3.221244394312399,0.508023675789831
High,architecture_C,89,3.794114146583176,0.5791103925741209
High,architecture_C,8,0.625911645599621,-0.20348696796643062
High,architecture_C,90,2.277494665884716,0.35745736848606924
High,architecture_C,91,1.2746055744122584,0.10537581350928703
High,architecture_C,92,5.155224131065997,0.712247551631015
High,architecture_C,93,2.2121738657842047,0.3448192573448132
High,architecture_C,94,2.074743425118509,0.31696439697826756
High,architecture_C,95,5.542507739861523,0.743706308259562
High,architecture_C,96,3.095585355463517,0.49074278344042377
High,architecture_C,97,2.765144756501528,0.44171787173628624
High,architecture_C,98,3.033374306663017,0.48192600387752127
High,architecture_C,99,5.472572827696477,0.7381915497660095
High,architecture_C,9,1.9817667505712813,0.2970525376866466
High,architecture_D,100,4.982772065217676,0.6974710210096463
High,architecture_D,10,2.6288144882257325,0.41975993963144187
High,architecture_D,11,5.163573492104196,0.7129503626270383
High,architecture_D,12,3.029957703320449,0.48143656601295065
High,architecture_D,13,4.453765620678136,0.648727358561412
High,architecture_D,14,4.972028202646456,0.6965335834086646
High,architecture_D,15,3.968716637170953,0.5986500917753372
High,architecture_D,16,3.856933241184903,0.586242121822762
High,architecture_D,17,2.23201190680688,0.348696507042751
High,architecture_D,18,3.73299806647013,0.5720577649807994
High,architecture_D,19,2.616807963940853,0.4177718528420489
High,architecture_D,1,1.7978039640995154,0.2547423336978594
High,architecture_D,20,3.116593263005289,0.49368012753879176
High,architecture_D,21,2.957548357228503,0.4709318542655835
High,architecture_D,22,3.485785058195308,0.5423006039679846
High,architecture_D,23,3.0243022291966453,0.4806251895784061
High,architecture_D,24,7.488526139585637,0.8743963500852093
High,architecture_D,25,4.208096474322691,0.6240856878438074
High,architecture_D,26,4.439589024377103,0.6473427690546703
High,architecture_D,27,5.619988626805492,0.7497354366863895
High,architecture_D,28,3.2585492254128616,0.5130242860692884
High,architecture_D,29,2.7665303632971003,0.44193544105659444
High,architecture_D,2,3.64881357510259,0.5621516749918106
High,architecture_D,30,3.476295307354862,0.5411166621687941
High,architecture_D,31,7.642844730395443,0.8832550366859249
High,architecture_D,32,2.368766357125009,0.3745222262713472
High,architecture_D,33,3.4962034511553024,0.5435966971726566
High,architecture_D,34,4.916989401001471,0.6916992721316226
High,architecture_D,35,3.269559464242678,0.5144892403859284
