density,architecture,repetition,rank,area_m2[m^2],absorbedPAR_umol_m2_s1
High,architectureD,11,1,0.0035630565557376666,5.568276216720631
High,architectureD,11,2,0.006154573039629533,4.4377676716008585
High,architectureD,11,3,0.007315935804995383,6.862882605418697
High,architectureD,11,4,0.007765523008678666,16.82338723343564
High,architectureD,11,5,0.008642539405189633,39.59879039257185
High,architectureD,11,6,0.006852887383987784,80.84583342457852
High,architectureD,11,7,0.0049675683144209,125.22804837749557
High,architectureD,11,8,0.0018165659669725166,162.76041761028148
High,architectureD,11,9,0.00046538931953668295,232.49998334264606
High,architectureD,11,10,0.0003859663483639359,252.839966802205
High,architectureE,11,1,0.0035550413779739335,6.240571456596996
High,architectureE,11,2,0.00616737231076955,8.8463168030038
High,architectureE,11,3,0.007334258458401734,4.140414175208387
High,architectureE,11,4,0.007764705157843999,18.083654327246975
High,architectureE,11,5,0.008628236860392068,42.17586901223336
High,architectureE,11,6,0.006841948021068416,81.01743334217008
High,architectureE,11,7,0.0049732154707752,138.06485812562264
High,architectureE,11,8,0.0018298356561077002,181.07009404799985
High,architectureE,11,9,0.000455127134269445,255.47768109424666
High,architectureE,11,10,0.0003859663483639359,251.29021997900296
High,control,11,1,0.0035658404591111166,16.145306922854335
High,control,11,2,0.006175834516770434,12.579279714700519
High,control,11,3,0.007329980467756451,18.32901490630847
High,control,11,4,0.007723763892202234,34.00494050186686
High,control,11,5,0.008660806126895649,83.72025829468608
High,control,11,6,0.0068515599706993,107.44138670610819
High,control,11,7,0.0049976939009158,138.17331725573626
High,control,11,8,0.0018582305344366165,152.5693625306781
High,control,11,9,0.0004623263038234001,124.53583938253199
High,control,11,10,0.0003859663483639359,217.86642588716154
High,architectureA,12,1,0.0035678894891145335,20.062640447999833
High,architectureA,12,2,0.0061775298718682835,8.304379741938758
High,architectureA,12,3,0.0073175779817614165,15.531224065119337
High,architectureA,12,4,0.007755273000918783,19.477087717016662
High,architectureA,12,5,0.008642989302215484,48.61524353225701
High,architectureA,12,6,0.006850550706015067,87.37121819041967
High,architectureA,12,7,0.004983676284214884,126.38811676962304
High,architectureA,12,8,0.0018603373660335167,138.04695232162888
High,architectureA,12,9,0.00046586216564041045,171.33018121746204
High,architectureA,12,10,0.0003859663483639359,172.93975853285937
High,architectureB,12,1,0.0035571650132985165,19.14439519670599
High,architectureB,12,2,0.006174361938898534,12.027361380762907
High,architectureB,12,3,0.0073341815446642,21.146973186222283
High,architectureB,12,4,0.007734087625474934,26.135306828292386
High,architectureB,12,5,0.008616450670336834,47.959120353405616
High,architectureB,12,6,0.0068597909498671,71.41344569338371
High,architectureB,12,7,0.0049908252766488,133.51105309561441
High,architectureB,12,8,0.0018333416133553499,184.17069789754456
High,architectureB,12,9,0.00045971842900569096,178.44356043539685
High,architectureB,12,10,0.0003859663483639359,269.96289893167176
High,architectureC,12,1,0.0035537575169680004,21.936198733693246
High,architectureC,12,2,0.006175342202378367,18.28910307980065
High,architectureC,12,3,0.007348355436705367,24.150080738509356
High,architectureC,12,4,0.007737840657157116,28.267960398141387
High,architectureC,12,5,0.008635014519737918,65.91626646655703
High,architectureC,12,6,0.006839715603165017,87.97775674768457
High,architectureC,12,7,0.0049617621982535,121.75361731762257
High,architectureC,12,8,0.0018781926613193167,99.15152334364677
High,architectureC,12,9,0.00046558044015347974,136.05549411767564
High,architectureC,12,10,0.0003859663483639359,207.8107816310736
High,architectureD,12,1,0.0035647027302379334,9.32826372809326
High,architectureD,12,2,0.00616510124245025,10.677208534376218
High,architectureD,12,3,0.007315255566637699,11.048591698910755
High,architectureD,12,4,0.007766359680211916,17.326288205730922
High,architectureD,12,5,0.00863316054827005,52.631684010523514
High,architectureD,12,6,0.006837579043296051,94.26805502879746
High,architectureD,12,7,0.0049835067318613835,144.0406262068097
High,architectureD,12,8,0.0018407440725890668,153.36043552244095
High,architectureD,12,9,0.00046976835121996654,220.185666211642
High,architectureD,12,10,0.0003859663483639359,269.063976036769
High,architectureE,12,1,0.0035645274927078832,4.14758492471227
High,architectureE,12,2,0.006172725772958717,4.670449238543026
High,architectureE,12,3,0.007323955696203884,5.184985195218255
High,architectureE,12,4,0.007774107959017916,13.769004758233764
High,architectureE,12,5,0.008638474444575816,30.88379465507776
High,architectureE,12,6,0.0068470224296133,82.96048838982945
High,architectureE,12,7,0.004970228025883116,130.30516590690385
High,architectureE,12,8,0.0018012306791754,181.87874077514437
High,architectureE,12,9,0.00048723591759864364,217.52668629246776
High,architectureE,12,10,0.0003859663483639359,254.55789181454972
High,control,12,1,0.0035598166091444835,19.14060525734096
High,control,12,2,0.006182955906019267,10.666700778544149
High,control,12,3,0.007320302437899068,19.19841040592941
High,control,12,4,0.007733569620848116,26.587168755871648
High,control,12,5,0.008629271104041434,71.74696967668133
High,control,12,6,0.006854301727568683,95.37944258846208
High,control,12,7,0.0049782384101284,118.02806358286314
High,control,12,8,0.0018484672700833833,168.46755472216543
High,control,12,9,0.00047662970333118795,143.3887509589512
High,control,12,10,0.0003859663483639359,217.76199329267865
High,architectureA,13,1,0.0035546054873410835,13.299706684985138
High,architectureA,13,2,0.006166286696424033,7.372505880029407
High,architectureA,13,3,0.007323573417747517,8.531587766815333
High,architectureA,13,4,0.00772900856423935,22.513770741660256
High,architectureA,13,5,0.008632578895169668,50.55344944495289
High,architectureA,13,6,0.006854848908162133,93.99409449605491
High,architectureA,13,7,0.004981406764309733,136.8597528729559
High,architectureA,13,8,0.00181807277284315,126.62798640017235
High,architectureA,13,9,0.00045625968587704687,143.72635100808876
High,architectureA,13,10,0.0003859663483639359,207.19095921174645
High,architectureB,13,1,0.00355464180345445,14.439475538032676
High,architectureB,13,2,0.0061623323093799335,8.631501816585981
High,architectureB,13,3,0.007322789511945367,27.690215099214523
High,architectureB,13,4,0.007733176680969167,36.1902006106077
High,architectureB,13,5,0.00862063603080445,53.12331709336843
High,architectureB,13,6,0.00683254821895455,52.53478137888266
High,architectureB,13,7,0.00498004111537205,124.24995186968505
High,architectureB,13,8,0.0018327170081853666,161.9620457217793
High,architectureB,13,9,0.00047052941244030236,208.89455805717986
High,architectureB,13,10,0.0003859663483639359,231.3098290088964
High,architectureC,13,1,0.0035623298859054167,18.156426089715282
High,architectureC,13,2,0.0061662346632353334,15.69482321032419
High,architectureC,13,3,0.007344550774291434,16.44559162783361
High,architectureC,13,4,0.007766750424579083,43.06789297166483
High,architectureC,13,5,0.008626890822562534,60.28984078747711
High,architectureC,13,6,0.006841627955179767,82.25158553262736
High,architectureC,13,7,0.004970127162984767,115.82240644186038
High,architectureC,13,8,0.0018185726410881167,113.55008975628617
High,architectureC,13,9,0.0004760451898269635,108.88321534551886
High,architectureC,13,10,0.0003859663483639359,180.7287376603509
High,architectureD,13,1,0.00355248315702295,13.588718557079249
High,architectureD,13,2,0.00617468329734535,10.125934843224078
High,architectureD,13,3,0.007328346691147216,12.429396929814779
High,architectureD,13,4,0.007728195748331599,12.091712112367881
High,architectureD,13,5,0.008633049368068918,31.930394537695957
High,architectureD,13,6,0.006855212783998983,62.28222827377905
High,architectureD,13,7,0.0049712500009513666,144.2448680272357
High,architectureD,13,8,0.0018793466011570667,184.80791572090837
High,architectureD,13,9,0.00047879435472437124,218.3909931860169
High,architectureD,13,10,0.0003859663483639359,262.1770011560289
High,architectureE,13,1,0.0035617690495642167,5.401937051886036
High,architectureE,13,2,0.0061690031708596495,7.860153206879258
High,architectureE,13,3,0.007343996956708568,6.188403511096816
High,architectureE,13,4,0.007752227593465733,17.51202916909433
High,architectureE,13,5,0.008635069236646116,26.505938250840558
High,architectureE,13,6,0.00681810733193535,65.07874440786098
High,architectureE,13,7,0.004991143457288,132.34447581462695
High,architectureE,13,8,0.0018054613216129834,166.35588044574257
High,architectureE,13,9,0.0004639953775100848,260.17795219596746
High,architectureE,13,10,0.0003859663483639359,246.49128398268545
High,control,13,1,0.0035569048653143667,14.318685086201384
High,control,13,2,0.0061793947875789,9.12277250620627
High,control,13,3,0.007296945931889433,12.222730865972295
High,control,13,4,0.0077540516099112,38.72561065626822
High,control,13,5,0.008633646788978084,53.93815320967328
High,control,13,6,0.0068411241237677336,102.94278031742489
High,control,13,7,0.004998761561871834,136.89576950677258
High,control,13,8,0.00179330853750715,144.43540228680175
High,control,13,9,0.0004742552097112428,184.90713776565474
High,control,13,10,0.0003859663483639359,221.37100310507688
High,architectureA,14,1,0.0035652318011618997,13.658353279458629
High,architectureA,14,2,0.00616523007760995,7.160759192271194
High,architectureA,14,3,0.007321321047252017,15.100370878103208
High,architectureA,14,4,0.007759400719097017,25.460580597166345
High,architectureA,14,5,0.008632028991658299,47.65298142066238
High,architectureA,14,6,0.006841771173230784,85.45090723678238
High,architectureA,14,7,0.0049663586222121504,151.33346592988258
High,architectureA,14,8,0.0018593254847159334,145.85344948353045
High,architectureA,14,9,0.00046750656888992575,154.34529692455547
High,architectureA,14,10,0.0003859663483639359,204.3914308433558
High,architectureB,14,1,0.00355066759680615,15.278524068694916
High,architectureB,14,2,0.00617449038121345,11.309703606143236
High,architectureB,14,3,0.00732899748140805,11.997567253041877
High,architectureB,14,4,0.007741222000606767,29.016234114673377
High,architectureB,14,5,0.008637657523559434,48.45461011119517
High,architectureB,14,6,0.006844834619495783,104.02984561663574
High,architectureB,14,7,0.0049933557866534166,106.31246558756595
High,architectureB,14,8,0.0018566733033242167,129.10219727664995
High,architectureB,14,9,0.00047201787216438447,137.43904723787222
High,architectureB,14,10,0.0003859663483639359,260.5187973819453
High,architectureC,14,1,0.0035643299384448836,19.2843983568759
High,architectureC,14,2,0.006178623284427383,14.273627702473092
High,architectureC,14,3,0.007331803051361684,17.829961101883626
High,architectureC,14,4,0.007765442710813316,33.53451697732359
High,architectureC,14,5,0.008618553868211967,60.329340631690854
High,architectureC,14,6,0.0068392678801527836,81.44021195295336
High,architectureC,14,7,0.005004140725232733,123.22583788329577
High,architectureC,14,8,0.0018408689817272167,115.24429234121322
High,architectureC,14,9,0.00047490513154862645,124.7653194198496
High,architectureC,14,10,0.0003859663483639359,165.74645942072587
High,architectureD,14,1,0.00355793339533615,8.449159431342062
High,architectureD,14,2,0.00617498276243805,14.325119272954211
High,architectureD,14,3,0.0073145145745422,8.744653047972593
High,architectureD,14,4,0.007745753345473616,17.220529095447596
High,architectureD,14,5,0.008631532461440234,54.91693678435795
High,architectureD,14,6,0.006837155796583633,63.37121876553516
High,architectureD,14,7,0.00499615291718175,152.6782903641417
High,architectureD,14,8,0.0018772964380456168,180.86220251626244
High,architectureD,14,9,0.000463090660359042,262.72975046367327
High,architectureD,14,10,0.0003859663483639359,260.6567209891762
High,architectureE,14,1,0.0035538796204053168,10.581262082266882
High,architectureE,14,2,0.006170212074896133,8.555480293477704
High,architectureE,14,3,0.00731903397618425,7.654657695508161
High,architectureE,14,4,0.0077589136757249995,13.820874553816077
High,architectureE,14,5,0.008634625890922967,42.66131935659748
High,architectureE,14,6,0.006835007664975666,57.03070656732015
High,architectureE,14,7,0.00497860388288955,123.14622099971275
High,architectureE,14,8,0.0018428783932703998,170.94383938026525
High,architectureE,14,9,0.00048096522726373477,222.8713753933829
High,architectureE,14,10,0.0003859663483639359,246.809370742151
High,control,14,1,0.0035593024148322,17.843206631280424
High,control,14,2,0.006169994882260433,14.548113266701947
High,control,14,3,0.007315395538608883,10.435229494916747
High,control,14,4,0.007736401422590734,27.125871211159517
High,control,14,5,0.008630770996792233,67.42225002358516
High,control,14,6,0.006833960753484883,92.09835862231512
High,control,14,7,0.00498195411440305,130.4917023820543
High,control,14,8,0.0018301410127641833,186.43727135218978
High,control,14,9,0.000466679436437891,164.70516614081654
High,control,14,10,0.0003859663483639359,214.74171674839602
High,architectureA,15,1,0.0035613537652925166,14.14606048997787
High,architectureA,15,2,0.006160001843254717,12.340035466690411
High,architectureA,15,3,0.007306843002967516,6.687998359720443
High,architectureA,15,4,0.0077457412034992,20.159846187036674
High,architectureA,15,5,0.00863449678117195,40.42935726406222
High,architectureA,15,6,0.0068335959622994,95.63384497136927
High,architectureA,15,7,0.004998881983538967,117.32439993962242
High,architectureA,15,8,0.0018394026182711666,162.19272956434875
High,architectureA,15,9,0.0004726831634034954,166.5437048315297
High,architectureA,15,10,0.0003859663483639359,207.12158353702148
High,architectureB,15,1,0.0035489582238862334,14.277231487397236
High,architectureB,15,2,0.006177326687979883,10.2112545656872
High,architectureB,15,3,0.007312645961247633,17.856748414193376
