density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
High,architecture_C,63,904.4739752416526,0.0500965437610919
High,architecture_C,64,875.7810488296382,0.050051338359491
High,architecture_C,65,946.6407636295768,0.0501232498975303
High,architecture_C,66,896.7323490196884,0.0500770990038983
High,architecture_C,67,960.4298895169346,0.0501003159007076
High,architecture_C,68,957.5819349935495,0.0500496243502385
High,architecture_C,69,876.9453193229492,0.0501285394592733
High,architecture_C,70,836.43608928015,0.0500407864842884
High,architecture_C,71,941.6361708193048,0.0501318861827164
High,architecture_C,72,895.2271616428106,0.0501347736952848
High,architecture_C,73,934.955743789199,0.0501003070611186
High,architecture_C,74,921.6528958178932,0.0500748530154506
High,architecture_C,75,861.6081631484425,0.0500919504285833
High,architecture_C,76,896.0780590091777,0.0501056090703935
High,architecture_C,77,932.0597849338978,0.050154184379780496
High,architecture_C,78,987.3582656066194,0.0500427669193724
High,architecture_C,79,930.212901830023,0.0500462321764216
High,architecture_C,80,965.8938351094946,0.0500843864435002
High,architecture_C,81,935.6833948567396,0.0500589768002295
High,architecture_C,82,915.2773684359073,0.0500746818769045
High,architecture_C,83,841.8664228677724,0.0501109020538997
High,architecture_C,84,989.2371800503408,0.0501443266386507
High,architecture_C,85,952.086938927149,0.0500993563341785
High,architecture_C,86,893.794272970179,0.0500602885809246
High,architecture_C,87,1019.9132381993193,0.0500884119215816
High,architecture_C,88,850.592457573323,0.0501408768446014
High,architecture_C,89,967.6782046103638,0.050097374325938
High,architecture_C,90,888.5620095143381,0.050032518613699103
High,architecture_C,91,882.2818927379184,0.050129018240363005
High,architecture_C,92,941.0914085682567,0.0500843637926872
High,architecture_C,93,958.6265210833831,0.0500987596425196
High,architecture_C,94,969.8775914477158,0.0500813899953915
High,architecture_C,95,954.4267341015212,0.050055570851729
High,architecture_C,96,956.636105224962,0.0500914453609836
High,architecture_C,97,966.5622296532113,0.0500568354562285
High,architecture_C,98,962.4085950411883,0.0501418084741991
High,architecture_C,99,919.5435172147271,0.0501457109831521
High,architecture_C,100,908.086908919094,0.0500707627944137
High,architecture_D,1,928.2045297861835,0.0501160540484964
High,architecture_D,2,794.2029513906605,0.0500574846451335
High,architecture_D,3,935.380385785175,0.050163431570006904
High,architecture_D,4,921.0182152600077,0.0500609832255364
High,architecture_D,5,1078.7277617150196,0.0500640536570383
High,architecture_D,6,906.3163943998661,0.0500534689573825
High,architecture_D,7,906.6392600169385,0.0500635379398029
High,architecture_D,8,900.9428015746585,0.0501213547171497
High,architecture_D,9,911.3074640982616,0.0500934546718744
High,architecture_D,10,876.2159280360867,0.0500967974566582
High,architecture_D,11,837.8397760222147,0.0500722368344063
High,architecture_D,12,843.2536241497194,0.050061001397832997
High,architecture_D,13,763.6851964346278,0.0500615990138051
High,architecture_D,14,888.8468594722617,0.050152748658895796
High,architecture_D,15,952.8158123614531,0.0501025147220499
High,architecture_D,16,912.7999389315058,0.0500476699130155
High,architecture_D,17,833.9672187376038,0.0501308513707517
High,architecture_D,18,839.2689400556234,0.0500815976151811
High,architecture_D,19,958.1520574014554,0.050067467330747
