density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
Low,E-Uniform50,20,25.705082268441917,247.3469177315581,90.586012089843
Low,F-Uniform30,20,57.03954917068682,216.0124508293132,79.11037122207975
Low,control,20,23.38571972285637,249.66628027714364,91.43543364529233
Low,A-Gradient45-90,21,16.81285972940415,256.2391402705959,93.8426161575802
Low,B-Gradient90-45,21,18.058176922587815,254.9938230774122,93.38654288465646
Low,C-Uniform90,21,14.679183441131478,258.3728165588685,94.6240337221
Low,D-Uniform70,21,18.176949996415928,254.87505000358408,93.34304454960376
Low,E-Uniform50,21,38.39930007285957,234.65269992714045,85.93700098411307
Low,F-Uniform30,21,52.404458798982425,220.6475412010176,80.8078831874579
Low,control,21,18.10064532025891,254.95135467974112,93.37098965755281
Low,A-Gradient45-90,22,23.84550001681534,249.20649998318467,91.26704802864826
Low,B-Gradient90-45,22,28.54400842291042,244.5079915770896,89.54631043797137
Low,C-Uniform90,22,16.667619077187236,256.3843809228128,93.89580772996088
Low,D-Uniform70,22,20.0791470371072,252.97285296289283,92.64640177068574
Low,E-Uniform50,22,36.328587614013315,236.7234123859867,86.69535926709443
Low,F-Uniform30,22,52.00271049878519,221.04928950121484,80.955015711738
Low,control,22,23.728718128431595,249.32328187156844,91.30981713064486
Low,A-Gradient45-90,23,11.886514901618892,261.1654850983811,95.64679441951756
Low,B-Gradient90-45,23,32.19378307096193,240.8582169290381,88.20965124922655
Low,C-Uniform90,23,12.50512810036802,260.546871899632,95.4202393315676
Low,D-Uniform70,23,24.611460685114732,248.44053931488529,90.98652978732449
Low,E-Uniform50,23,42.53676770079947,230.51523229920053,84.42173369878284
Low,F-Uniform30,23,52.31018523146141,220.7418147685386,80.84240905341787
Low,control,23,19.213797203112904,253.83820279688712,92.96331936659944
Low,A-Gradient45-90,24,15.396649781906556,257.6553502180935,94.36127558783434
Low,B-Gradient90-45,24,35.344242081787236,237.7077579182128,87.05585672993158
Low,C-Uniform90,24,20.347556645604428,252.7044433543956,92.54810195654879
Low,D-Uniform70,24,15.95429159079651,257.0977084092035,94.15705008906856
Low,E-Uniform50,24,43.79440990116482,229.2575900988352,83.96114663098427
Low,F-Uniform30,24,60.09075445700529,212.96124554299473,77.99292645466605
Low,control,24,21.322482255486193,251.72951774451383,92.19105435759994
Low,A-Gradient45-90,25,28.389989678607858,244.66201032139216,89.60271681635444
Low,B-Gradient90-45,25,26.41403392472055,246.63796607527948,90.32637229365815
