density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,B-Gradient90-45,19,7.969550390074986,265.08244960992505,97.08130671444451
High,C-Uniform90,19,0.945946756491448,272.1060532435086,99.65356534415004
High,D-Uniform70,19,2.6168079639408526,270.43519203605916,99.04164482811302
High,E-Uniform50,19,9.241878247527252,263.81012175247275,96.6153413095208
High,F-Uniform30,19,23.5884192423628,249.46358075763723,91.36119887700409
High,control,19,6.618930173447659,266.43306982655236,97.57594517767764
High,A-Gradient45-90,1,4.646729170041839,268.40527082995817,98.29822555042928
High,B-Gradient90-45,1,3.4314163072783592,269.62058369272165,98.74331031917791
High,C-Uniform90,1,3.402724087514413,269.6492759124856,98.75381828826949
High,D-Uniform70,1,1.7978039640995154,271.2541960359005,99.34158916100249
High,E-Uniform50,1,5.561175598282013,267.490824401718,97.96332727894979
High,F-Uniform30,1,13.744003801327194,259.3079961986728,94.96652513025826
High,control,1,4.877712243831155,268.17428775616884,98.21363247885706
High,A-Gradient45-90,20,4.509205237660522,268.5427947623395,98.34859102381213
High,B-Gradient90-45,20,4.060580987122009,268.991419012878,98.51289095589044
High,C-Uniform90,20,2.119054049209326,270.93294595079067,99.22393754698396
High,D-Uniform70,20,3.1165932630052895,269.9354067369947,98.85860815412254
High,E-Uniform50,20,12.532253744736463,260.51974625526356,95.41030509033574
High,F-Uniform30,20,18.531492243199057,254.52050775680095,93.21320032697102
High,control,20,3.473932398301995,269.578067601698,98.72773962530873
High,A-Gradient45-90,21,5.4668894289984475,267.58511057100156,97.99785776006092
High,B-Gradient90-45,21,8.44816515110271,264.6038348488973,96.9060233394728
High,C-Uniform90,21,7.239513224403757,265.81248677559626,97.34866866955608
High,D-Uniform70,21,2.957548357228503,270.0944516427715,98.91685526667868
High,E-Uniform50,21,4.7149811342029855,268.33701886579706,98.27322959209125
High,F-Uniform30,21,21.405143528742038,251.646856471258,92.16078126923003
High,control,21,6.06515248335108,266.98684751664894,97.77875551786799
High,A-Gradient45-90,22,2.247333500091629,270.80466649990836,99.17695768568197
High,B-Gradient90-45,22,4.55645691452262,268.4955430854774,98.33128601346168
High,C-Uniform90,22,2.448288172560319,270.6037118274397,99.1033619337854
High,D-Uniform70,22,3.4857850581953076,269.56621494180473,98.72339881846854
High,E-Uniform50,22,13.041351636003533,260.0106483639965,95.22385786004001
High,F-Uniform30,22,18.597156002378135,254.45484399762188,93.18915224851744
High,control,22,4.198400784322852,268.85359921567715,98.46241712775483
High,A-Gradient45-90,23,5.492174487138353,267.55982551286166,97.98859759784277
High,B-Gradient90-45,23,7.931123073870981,265.12087692612903,97.09537997382513
High,C-Uniform90,23,1.1727151761741932,271.87928482382586,99.57051580791418
High,D-Uniform70,23,3.0243022291966453,270.0276977708034,98.8924079555555
High,E-Uniform50,23,9.701028468124338,263.3509715318757,96.4471864450272
High,F-Uniform30,23,18.520105866513248,254.5318941334868,93.21737036662861
High,control,23,1.615592693564188,271.43640730643585,99.40832050541137
High,A-Gradient45-90,24,3.0081067646760373,270.043893235324,98.89833923037516
High,B-Gradient90-45,24,5.2248826893158125,267.82711731068423,98.08648803549661
High,C-Uniform90,24,2.2874072878803884,270.7645927121196,99.16228143801166
High,D-Uniform70,24,7.4885261395856375,265.5634738604144,97.25747251820692
High,E-Uniform50,24,6.543248945082858,266.5087510549172,97.60366195996262
High,F-Uniform30,24,13.963267972630726,259.0887320273693,94.88622387946958
High,control,24,5.219306644862791,267.8326933551372,98.08853015364737
High,A-Gradient45-90,25,4.554206252780363,268.49779374721965,98.33211027468013
High,B-Gradient90-45,25,6.596956174467849,266.4550438255322,97.58399272868617
High,C-Uniform90,25,6.942517509360833,266.1094824906392,97.45743759087617
High,D-Uniform70,25,4.208096474322691,268.8439035256773,98.45886626931035
High,E-Uniform50,25,7.940186917066759,265.1118130829333,97.09206051701993
High,F-Uniform30,25,16.828976603848,256.22302339615203,93.83671366485213
High,control,25,7.57158386127567,265.48041613872437,97.22705423828587
High,A-Gradient45-90,26,8.191874407944532,264.8601255920555,96.99988485418729
High,B-Gradient90-45,26,5.582123714530737,267.4698762854693,97.9556554375977
High,C-Uniform90,26,2.1279465597893177,270.9240534402107,99.22068083742681
High,D-Uniform70,26,4.439589024377103,268.61241097562294,98.3740866119358
High,E-Uniform50,26,8.376848517715606,264.67515148228443,96.93214167348505
High,F-Uniform30,26,19.73485707152769,253.31714292847232,92.77249129413896
High,control,26,8.650352487051926,264.4016475129481,96.83197614848017
High,A-Gradient45-90,27,4.074693385326627,268.9773066146734,98.50772256371438
High,B-Gradient90-45,27,3.121591339323072,269.93040866067696,98.85677770559342
High,C-Uniform90,27,0.9739114316908722,272.07808856830917,99.64332382414673
High,D-Uniform70,27,5.619988626805492,267.43201137319454,97.94178814775007
High,E-Uniform50,27,8.350350166267072,264.701649833733,96.94184618084942
High,F-Uniform30,27,24.025257505406834,249.02674249459318,91.2012153342928
High,control,27,6.8741713970613185,266.1778286029387,97.48246802914414
High,A-Gradient45-90,28,4.023604452205072,269.02839554779496,98.52643289475812
High,B-Gradient90-45,28,4.069894821167068,268.98210517883297,98.50947994478449
High,C-Uniform90,28,4.595656311732768,268.4563436882672,98.31692999438467
High,D-Uniform70,28,3.2585492254128616,269.79345077458714,98.80661953568813
High,E-Uniform50,28,11.551925843846266,261.50007415615374,95.76933117360565
High,F-Uniform30,28,11.934755750095238,261.1172442499048,95.62912714424533
High,control,28,11.275489469853614,261.7765105301464,95.87057063495101
High,A-Gradient45-90,29,5.13651371972297,267.91548628027704,98.11885145696681
High,B-Gradient90-45,29,3.5505932202893447,269.5014067797107,98.69966408585569
