density,architecture,repetition,absorbedPAR_umol_m2_s1,area_m2[m^2]
Low,architecture_B,72,1200.5562652357646,0.0458550944544386
Low,architecture_B,73,1240.339296458091,0.0458632776188614
Low,architecture_B,74,1266.3188289993743,0.0458623555554656
Low,architecture_B,75,1251.3257193863085,0.0458929277584519
Low,architecture_B,76,1187.9049849053426,0.0458858511544833
Low,architecture_B,77,1318.5736861577757,0.0458762492323574
Low,architecture_B,79,1206.7067991490974,0.045818156704161
Low,architecture_B,80,1220.927065659296,0.0458656474569522
Low,architecture_B,81,1259.087177945535,0.0458144873106123
Low,architecture_B,82,1165.8934660736395,0.0458579655048309
Low,architecture_B,83,1220.091026035517,0.0458321326441015
Low,architecture_B,84,1186.5291904007777,0.0458789895676027
Low,architecture_B,85,1255.4214711901282,0.0458718013148444
Low,architecture_B,86,1215.198293416669,0.0458845361404589
Low,architecture_B,87,1284.0320194879023,0.0458677389416411
Low,architecture_B,88,1242.5146126907366,0.0459032785261155
Low,architecture_B,89,1230.388671459327,0.0458533101706636
Low,architecture_B,90,1295.8024456749838,0.0458679691298876
Low,architecture_B,91,1299.5288812562185,0.0458954431106759
Low,architecture_B,92,1277.771847946584,0.0458596113695126
Low,architecture_B,93,1285.107748942513,0.0458444184813144
Low,architecture_B,94,1246.46841194722,0.0458428071057662
Low,architecture_B,95,1325.5657071407288,0.0459041507551632
Low,architecture_B,96,1216.7892580318637,0.0458541154604118
Low,architecture_B,97,1191.0013762756491,0.0458301724701492
Low,architecture_B,98,1227.9790901605058,0.0458704417460802
Low,architecture_B,99,1223.9651487097474,0.0458985701713046
Low,architecture_B,100,1249.1982791356402,0.0458919277105051
Low,architecture_C,1,1239.006931241976,0.0458550855405939
Low,architecture_C,2,1256.0174387159714,0.0459107765400404
Low,architecture_C,3,1197.313036870738,0.0459006251080178
Low,architecture_C,4,1175.222691367142,0.0458786165812583
Low,architecture_C,5,1299.9260152593465,0.0458930855746973
Low,architecture_C,6,1251.7675144361497,0.0458389928461588
Low,architecture_C,7,1270.0129275035783,0.0457981395754413
Low,architecture_C,8,1262.3263643773262,0.0459311094919647
Low,architecture_C,9,1261.6270378067302,0.0458702627225857
Low,architecture_C,10,1280.9231874161433,0.0458539864195515
Low,architecture_C,11,1246.2857940358736,0.0458638199251146
Low,architecture_C,12,1257.8966489320758,0.0459258267724734
Low,architecture_C,13,1186.6107759214742,0.0458389228784983
Low,architecture_C,14,1294.897373961476,0.0458087418496542
Low,architecture_C,15,1187.7647168835738,0.0458791813681505
Low,architecture_C,16,1247.8290260745962,0.0458824765772885
Low,architecture_C,17,1220.1103898488464,0.0459084909714201
Low,architecture_C,18,1252.7999093798526,0.0459056453215348
Low,architecture_C,19,1227.2219876878892,0.0458474965590082
Low,architecture_C,20,1249.632279156327,0.0458360525929733
Low,architecture_C,21,1213.6629374874112,0.04587839636387
Low,architecture_C,22,1309.2943086230084,0.0458684299187477
Low,architecture_C,23,1237.5847680763718,0.0458187511881959
Low,architecture_C,24,1220.7015762830506,0.0458338958336178
Low,architecture_C,25,1301.8491507299177,0.0459010498314258
Low,architecture_C,26,1318.5118852444557,0.0458364620548636
Low,architecture_C,27,1251.820468944105,0.0459065672299443
Low,architecture_C,28,1239.5914299974684,0.0458808860123734
Low,architecture_C,29,1218.057808471033,0.0458650067763824
Low,architecture_C,30,1236.357776192739,0.0459105716535754
Low,architecture_C,31,1343.1842663982295,0.0458167306576066
Low,architecture_C,32,1299.21680117019,0.0458853406051703
Low,architecture_C,33,1229.1571611709237,0.0458506123738808
Low,architecture_C,34,1226.351352787379,0.0458144256719536
Low,architecture_C,35,1257.3156176914622,0.0458306409878635
Low,architecture_C,36,1299.2038678231518,0.0458129942978811
Low,architecture_C,37,1284.3257331201582,0.0459160307374923
Low,architecture_C,38,1256.0207992468431,0.0457861128707815
Low,architecture_C,39,1224.2115188668956,0.0458676681381242
Low,architecture_C,41,1216.2921466549724,0.0459147258571347
Low,architecture_C,42,1217.9680194250466,0.0459263226251493
Low,architecture_C,43,1285.1163875793904,0.045795723902584
Low,architecture_C,44,1308.185742397181,0.0458698412969216
Low,architecture_C,45,1207.835838927943,0.0458639282043844
Low,architecture_C,46,1317.964499494002,0.0458577599653621
