density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
High,A-Gradient45-90,66,5.349078240064379,1.9589961765760289,267.70292175993563,98.04100382342396
High,A-Gradient45-90,67,3.152662791195074,1.1546016111198871,269.8993372088049,98.8453983888801
High,A-Gradient45-90,68,3.526530407689782,1.2915233756536415,269.52546959231023,98.70847662434636
High,A-Gradient45-90,70,2.7376560863823856,1.002613453255199,270.3143439136176,98.9973865467448
High,A-Gradient45-90,71,3.233749749346104,1.1842981371116503,269.81825025065393,98.81570186288836
High,A-Gradient45-90,72,4.421732739452914,1.619373869978214,268.6302672605471,98.38062613002178
High,A-Gradient45-90,73,2.550441062176493,0.9340495810968216,270.5015589378235,99.06595041890316
High,A-Gradient45-90,74,6.753143676343273,2.4732079151016184,266.2988563236568,97.5267920848984
High,A-Gradient45-90,75,3.166725826883017,1.159751925231464,269.885274173117,98.84024807476854
High,A-Gradient45-90,76,4.462489469854948,1.6343002321370832,268.58951053014505,98.3656997678629
High,A-Gradient45-90,77,3.313974559854306,1.2136789182479184,269.7380254401457,98.78632108175208
High,A-Gradient45-90,78,3.985518798963882,1.4596189732958855,269.06648120103614,98.54038102670413
High,A-Gradient45-90,79,3.0589926696947125,1.1202967455630108,269.9930073303053,98.879703254437
High,A-Gradient45-90,7,3.0368903236840894,1.1122021899433403,270.01510967631594,98.88779781005668
High,A-Gradient45-90,80,3.085765391556657,1.1301017357707166,269.96623460844336,98.86989826422928
High,A-Gradient45-90,81,2.4936691686461674,0.9132579760068292,270.5583308313538,99.08674202399315
High,A-Gradient45-90,83,3.1842949178513007,1.1661862641003546,269.86770508214875,98.83381373589964
High,A-Gradient45-90,85,3.1228551072579247,1.143685124905851,269.9291448927421,98.85631487509416
High,A-Gradient45-90,86,6.139249418820618,2.2483810478665665,266.9127505811794,97.75161895213344
High,A-Gradient45-90,88,5.572969567911512,2.0409920337194056,267.4790304320885,97.9590079662806
High,A-Gradient45-90,89,5.410715882498012,1.9815697678456896,267.641284117502,98.0184302321543
High,A-Gradient45-90,8,3.55822316445628,1.3031302332362626,269.4937768355437,98.69686976676373
High,A-Gradient45-90,90,2.56486835775956,0.939333298331292,270.48713164224046,99.06066670166872
High,A-Gradient45-90,91,3.928210150838181,1.4386307922440345,269.1237898491618,98.56136920775596
High,A-Gradient45-90,93,3.585999037206262,1.3133026080036996,269.46600096279377,98.6866973919963
High,A-Gradient45-90,94,2.687155718452556,0.9841186727995236,270.36484428154745,99.01588132720047
High,A-Gradient45-90,95,3.1786948923800837,1.164135363366715,269.87330510762,98.83586463663327
High,A-Gradient45-90,96,2.881484901089176,1.0552879675260305,270.17051509891087,98.944712032474
High,A-Gradient45-90,97,2.8953003795760885,1.0603476186133367,270.1566996204239,98.93965238138664
High,A-Gradient45-90,98,3.22158840462719,1.179844280440059,269.8304115953728,98.82015571955996
High,A-Gradient45-90,99,3.890288641807528,1.4247427749320742,269.1617113581925,98.57525722506792
High,A-Gradient45-90,9,3.613413895517575,1.3233427682337338,269.43858610448245,98.67665723176628
High,B-Gradient90-45,100,6.475109632591101,2.3713833381887333,266.5768903674089,97.62861666181126
High,B-Gradient90-45,10,2.580951912268276,0.9452235882792565,270.47104808773173,99.05477641172074
High,B-Gradient90-45,11,4.743450382480247,1.7371967180171712,268.30854961751976,98.26280328198284
High,B-Gradient90-45,12,5.260392090243805,1.9265165939981408,267.79160790975624,98.07348340600188
High,B-Gradient90-45,13,3.5545703096859995,1.3017924460124808,269.497429690314,98.6982075539875
High,B-Gradient90-45,14,3.0485175427185127,1.1164604334407044,270.0034824572815,98.88353956655928
High,B-Gradient90-45,15,5.05777179184952,1.8523108389059664,267.9942282081505,98.14768916109404
High,B-Gradient90-45,16,3.3240949969395257,1.2173853320757675,269.72790500306047,98.78261466792422
High,B-Gradient90-45,17,3.907985110258927,1.4312237633340634,269.1440148897411,98.56877623666594
High,B-Gradient90-45,18,4.252277750907118,1.5573142664793218,268.7997222490929,98.44268573352068
High,B-Gradient90-45,19,7.969550390074986,2.918693285555493,265.08244960992505,97.08130671444452
High,B-Gradient90-45,1,3.4314163072783592,1.2566896808220995,269.62058369272165,98.74331031917792
High,B-Gradient90-45,20,4.060580987122009,1.48710904410955,268.991419012878,98.51289095589044
High,B-Gradient90-45,21,8.44816515110271,3.093976660527193,264.6038348488973,96.9060233394728
High,B-Gradient90-45,22,4.55645691452262,1.6687139865383225,268.4955430854774,98.33128601346168
High,B-Gradient90-45,23,7.931123073870981,2.9046200261748605,265.12087692612903,97.09537997382512
High,B-Gradient90-45,24,5.2248826893158125,1.913511964503396,267.82711731068423,98.0864880354966
High,B-Gradient90-45,25,6.596956174467849,2.4160072713138336,266.4550438255322,97.58399272868616
High,B-Gradient90-45,26,5.582123714530737,2.044344562402303,267.4698762854693,97.9556554375977
High,B-Gradient90-45,27,3.121591339323072,1.1432222944065862,269.93040866067696,98.85677770559342
High,B-Gradient90-45,28,4.069894821167068,1.4905200552155151,268.98210517883297,98.50947994478447
High,B-Gradient90-45,29,3.5505932202893447,1.3003359141443185,269.5014067797107,98.69966408585567
High,B-Gradient90-45,2,3.645966719037012,1.335264608586281,269.406033280963,98.66473539141371
High,B-Gradient90-45,30,8.022336242354884,2.9380250803344725,265.02966375764515,97.06197491966554
High,B-Gradient90-45,31,6.914876894802787,2.5324395700462863,266.13712310519725,97.46756042995372
High,B-Gradient90-45,32,8.903899457067181,3.260880512527717,264.14810054293287,96.7391194874723
High,B-Gradient90-45,33,6.088949196777876,2.2299595669608263,266.96305080322213,97.77004043303916
High,B-Gradient90-45,34,4.3710371663207725,1.6008075994025943,268.68096283367925,98.3991924005974
High,B-Gradient90-45,35,3.401100643100491,1.2455871566956078,269.6508993568995,98.75441284330438
High,B-Gradient90-45,36,5.567518208487029,2.038995579042464,267.484481791513,97.96100442095754
