density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_%,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
Low,A-Gradient45-90,7,21.73120271314371,7.958631584146502,251.3207972868563,92.0413684158535
Low,A-Gradient45-90,80,29.49173631011632,10.800776522463236,243.5602636898837,89.19922347753676
Low,A-Gradient45-90,81,15.06625234650432,5.517722758487144,257.9857476534957,94.48227724151286
Low,A-Gradient45-90,82,24.041416739970348,8.804702672007657,249.01058326002968,91.19529732799234
Low,A-Gradient45-90,83,22.751846664144423,8.332422638964161,250.3001533358556,91.66757736103584
Low,A-Gradient45-90,84,22.333572337611148,8.179237778009735,250.71842766238888,91.82076222199026
Low,A-Gradient45-90,85,16.115575854327698,5.9020171448397,256.93642414567233,94.0979828551603
Low,A-Gradient45-90,86,19.558436576971808,7.162898120860424,253.4935634230282,92.83710187913957
Low,A-Gradient45-90,87,26.599162715592268,9.741427535997635,246.45283728440776,90.25857246400236
Low,A-Gradient45-90,88,20.896587477790472,7.652969938982491,252.1554125222096,92.3470300610175
Low,A-Gradient45-90,89,15.327498016838916,5.6133989191944815,257.7245019831611,94.3866010808055
Low,A-Gradient45-90,8,19.89374611074894,7.285698735313763,253.15825388925109,92.71430126468624
Low,A-Gradient45-90,90,30.53586085494483,11.183166889436748,242.5161391450552,88.81683311056325
Low,A-Gradient45-90,91,22.94707765304299,8.403922202746358,250.10492234695704,91.59607779725364
Low,A-Gradient45-90,92,11.70409211640986,4.286396772925984,261.3479078835901,95.71360322707402
Low,A-Gradient45-90,93,28.67609051924947,10.502062068488591,244.37590948075052,89.4979379315114
Low,A-Gradient45-90,94,20.34873880259589,7.452330985525059,252.70326119740412,92.54766901447496
Low,A-Gradient45-90,95,20.094556616471568,7.359241688935282,252.95744338352844,92.64075831106472
Low,A-Gradient45-90,96,13.33960041761144,4.88536997261014,259.71239958238857,95.11463002738984
Low,A-Gradient45-90,97,21.3098134814186,7.804305949569533,251.74218651858143,92.19569405043048
Low,A-Gradient45-90,98,17.545914805565932,6.425851048725492,255.5060851944341,93.57414895127452
Low,A-Gradient45-90,99,30.360432540400023,11.11891967112492,242.6915674596,88.88108032887509
Low,A-Gradient45-90,9,19.57846450328069,7.170232960491295,253.4735354967193,92.82976703950872
Low,B-Gradient90-45,100,28.266715684992747,10.352136474002291,244.7852843150073,89.6478635259977
Low,B-Gradient90-45,10,20.81657946020628,7.623668554050613,252.23542053979372,92.3763314459494
Low,B-Gradient90-45,11,21.71653135957271,7.953258485406701,251.3354686404273,92.0467415145933
Low,B-Gradient90-45,12,33.979075074192004,12.44417732673337,239.072924925808,87.55582267326663
Low,B-Gradient90-45,13,23.857647373754418,8.737400705270211,249.1943526262456,91.26259929472978
Low,B-Gradient90-45,14,22.67896076995014,8.305729593612257,250.37303923004987,91.69427040638772
Low,B-Gradient90-45,15,20.0537912756382,7.344312173372909,252.99820872436183,92.6556878266271
